channel,position
1,occipital gyri
2,occipital gyri
3,white matter
4,white matter
5,white matter
6,occipital gyri
7,occipital gyri
8,occipital gyri
9,occipital gyri
10,occipital gyri
11,occipital gyri
12,occipital gyri
13,white matter
14,white matter
15,white matter
17,white matter
18,white matter
19,white matter
20,white matter
21,white matter
22,white matter
23,white matter
24,occipital gyri
25,occipital gyri
26,precuneus
27,white matter
28,precuneus
29,precuneus
31,occipital gyri
32,white matter
33,white matter
34,striate area
35,white matter
36,white matter
37,occipital gyri
38,occipital gyri
39,occipital gyri
40,occipital gyri
41,precuneus
42,precuneus
43,Cerebellum
44,Cerebellum
45,medial occipito-temporal gyrus
46,medial occipito-temporal gyrus
47,white matter
48,white matter
49,white matter
50,occipital gyri
51,occipital gyri
52,occipital gyri
53,occipital gyri
54,occipital gyri
55,precuneus
56,precuneus
57,occipital gyri
58,occipital gyri
59,striate area
60,striate area
61,striate area
62,white matter
63,white matter
64,striate area
65,white matter
66,white matter
67,striate area
68,striate area
69,Amg amygdala
70,Amg amygdala
71,Amg amygdala
72,Amg amygdala
73,periamygdaloid cortex
74,periamygdaloid cortex
75,periamygdaloid cortex
76,white matter
77,white matter
78,white matter
79,white matter
80,white matter
81, middle temporal gyrus
82,middle temporal gyrus
83,hippocampus
84,hippocampus
85,hippocampus
86,lateral ventricle
87,white matter
88,medial occipito-temporal gyrus
89,medial occipito-temporal gyrus
90,medial occipito-temporal gyrus
91,white matter
92,white matter
93,inferior temporal gyrus
94,inferior temporal gyrus
95,middle temporal gyrus
96,middle temporal gyrus
97,middle temporal gyrus
98,middle temporal gyrus
99,occipital gyri
100,white matter
101,occipital gyri
102,white matter
103,occipital gyri
104,occipital gyri
105,white matter
106,occipital gyri
107,occipital gyri
108,occipital gyri
109,white matter
110,striate area
111,striate area
112,striate area
